"Participant","hear","gender","age"
1,"Laurel","Female",28
2,"Laurel","Male",39
3,"Laurel","Female",25
4,"Yanny","Female",25
5,"Laurel","Female",36
6,"Laurel","Female",24
7,"Yanny","Male",41
8,"Laurel","Male",30
9,"Laurel","Male",23
10,"Laurel","Female",38
11,"Yanny","Male",32
12,"Yanny","Female",26
13,"Yanny","Female",29
14,"Yanny","Male",29
15,"Laurel","Male",52
16,"Laurel","Male",50
17,"Yanny","Female",27
18,"Yanny","Male",28
19,"Laurel","Male",27
20,"Yanny","Male",28
21,"Laurel","Female",29
22,"Yanny","Male",30
23,"Laurel","Female",36
24,"Laurel","Male",30
25,"Yanny","Female",NA
26,"Laurel","Male",44
27,"Yanny","Female",26
28,"Laurel","Male",37
29,"Laurel","Female",63
30,"Laurel","Male",37
31,"Yanny","Female",26
32,"Laurel","Female",40
33,"Yanny","Female",63
34,"Laurel","Female",39
35,"Laurel","Female",52
36,"Laurel","Female",35
37,"Laurel","Female",35
38,"Yanny","Female",30
39,"Yanny","Female",35
40,"Yanny","Male",23
41,"Laurel","Male",41
42,"Yanny","Male",32
43,"Yanny","Male",39
44,"Yanny","Male",40
45,"Yanny","Female",35
46,"Yanny","Male",31
47,"Laurel","Male",27
48,"Yanny","Female",49
49,"Laurel","Male",38
50,"Yanny","Female",38
51,"Laurel","Male",36
52,"Yanny","Female",32
53,"Laurel","Female",38
